station,time,dis,max_dt_3days,district,flood,thres_discharge,predicted
G5171,2003-12-16,70.91362,160.80300903320312,turkana,0.0,0.0,1
G5171,2003-12-17,57.35209,118.59117126464844,turkana,0.0,0.0,1
G5171,2003-12-18,47.647648,90.31388854980469,turkana,0.0,0.0,1
G5171,2003-12-19,40.152985,70.91361999511719,turkana,0.0,0.0,1
G5171,2003-12-20,34.491077,57.352088928222656,turkana,0.0,0.0,1
G5171,2003-12-21,30.083237,47.647647857666016,turkana,0.0,0.0,1
G5171,2003-12-22,26.600702,40.152984619140625,turkana,0.0,0.0,1
G5171,2003-12-23,23.731407,34.4910774230957,turkana,0.0,0.0,1
G5171,2003-12-24,21.350716,30.083236694335938,turkana,0.0,0.0,1
G5171,2003-12-25,19.390442,26.6007022857666,turkana,0.0,0.0,1
G5171,2003-12-26,17.903605,23.731407165527344,turkana,0.0,0.0,1
G5171,2003-12-27,16.862965,21.35071563720703,turkana,0.0,0.0,1
G5171,2003-12-28,15.7776785,19.39044189453125,turkana,0.0,0.0,1
G5171,2003-12-29,14.674155,17.90360450744629,turkana,0.0,0.0,1
G5171,2003-12-30,13.75543,16.862964630126953,turkana,0.0,0.0,1
G5171,2003-12-31,13.100567,15.777678489685059,turkana,0.0,0.0,1
G5171,2004-01-01,12.781769,14.674155235290527,turkana,0.0,0.0,1
G5171,2004-01-02,12.345222,13.755430221557617,turkana,0.0,0.0,1
G5171,2004-01-03,11.804405,13.100566864013672,turkana,0.0,0.0,1
G5171,2004-01-04,11.305167,12.781768798828125,turkana,0.0,0.0,1
G5171,2004-01-05,10.915813,12.345222473144531,turkana,0.0,0.0,1
G5171,2004-01-06,10.535088,11.804405212402344,turkana,0.0,0.0,1
G5171,2004-01-07,10.307963,11.305167198181152,turkana,0.0,0.0,1
G5171,2004-01-08,10.170607,10.915813446044922,turkana,0.0,0.0,1
G5171,2004-01-09,10.133681,10.535087585449219,turkana,0.0,0.0,1
G5171,2004-01-10,9.845652,10.307963371276855,turkana,0.0,0.0,1
G5171,2004-01-11,9.5138645,10.17060661315918,turkana,0.0,0.0,1
G5171,2004-01-12,9.361221,10.133681297302246,turkana,0.0,0.0,1
G5171,2004-01-13,9.367919,9.937271118164062,turkana,0.0,0.0,1
G5171,2004-01-14,9.257999,9.937271118164062,turkana,0.0,0.0,1
G5171,2004-01-15,9.487064,19.241647720336914,turkana,0.0,0.0,1
G5171,2004-01-16,9.937271,132.20018005371094,turkana,0.0,0.0,1
G5171,2004-01-17,9.813438,208.99288940429688,turkana,0.0,0.0,1
G5171,2004-01-18,19.241648,208.99288940429688,turkana,0.0,0.0,1
G5171,2004-01-19,132.20018,208.99288940429688,turkana,0.0,0.0,1
G5171,2004-01-20,208.99289,208.99288940429688,turkana,0.0,0.0,1
G5171,2004-01-21,177.20586,208.99288940429688,turkana,0.0,0.0,1
G5171,2004-01-22,134.49243,208.99288940429688,turkana,0.0,0.0,1
G5171,2004-01-23,101.93983,208.99288940429688,turkana,0.0,0.0,1
G5171,2004-01-24,78.84717,177.2058563232422,turkana,0.0,0.0,1
G5171,2004-01-25,62.663815,134.492431640625,turkana,0.0,0.0,1
G5171,2004-01-26,50.577946,101.93982696533203,turkana,0.0,0.0,1
G5171,2004-01-27,41.176666,78.84716796875,turkana,0.0,0.0,1
G5171,2004-01-28,34.36353,62.663814544677734,turkana,0.0,0.0,1
G5171,2004-01-29,29.632254,50.577945709228516,turkana,0.0,0.0,1
G5171,2004-01-30,25.74787,41.176666259765625,turkana,0.0,0.0,1
G5171,2004-01-31,23.057106,34.363529205322266,turkana,0.0,0.0,1
G5171,2004-02-01,21.17328,29.632253646850586,turkana,0.0,0.0,1
G5171,2004-02-02,19.634438,25.74786949157715,turkana,0.0,0.0,1
G5171,2004-02-03,18.545494,23.057106018066406,turkana,0.0,0.0,1
G5171,2004-02-04,17.453777,258.4737243652344,turkana,0.0,0.0,1
G5171,2004-02-05,16.908142,454.6727294921875,turkana,0.0,0.0,1
G5171,2004-02-06,22.104122,454.6727294921875,turkana,0.0,0.0,1
G5171,2004-02-07,258.47372,454.6727294921875,turkana,0.0,0.0,1
G5171,2004-02-08,454.67273,454.6727294921875,turkana,0.0,0.0,1
G5171,2004-02-09,345.38516,454.6727294921875,turkana,0.0,0.0,1
G5171,2004-02-10,237.60338,454.6727294921875,turkana,0.0,0.0,1
G5171,2004-02-11,166.78027,454.6727294921875,turkana,0.0,0.0,1
G5171,2004-02-12,121.39239,345.3851623535156,turkana,0.0,0.0,1
G5171,2004-02-13,91.63269,237.60337829589844,turkana,0.0,0.0,1
G5171,2004-02-14,71.64285,166.7802734375,turkana,0.0,0.0,1
G5171,2004-02-15,57.430084,121.39238739013672,turkana,0.0,0.0,1
G5171,2004-02-16,46.68403,91.6326904296875,turkana,0.0,0.0,1
G5171,2004-02-17,39.03336,71.64285278320312,turkana,0.0,0.0,1
G5171,2004-02-18,33.504,57.430084228515625,turkana,0.0,0.0,1
G5171,2004-02-19,29.029558,46.68402862548828,turkana,0.0,0.0,1
G5171,2004-02-20,25.3289,39.03335952758789,turkana,0.0,0.0,1
G5171,2004-02-21,22.353033,33.50400161743164,turkana,0.0,0.0,1
G5171,2004-02-22,20.064556,29.029558181762695,turkana,0.0,0.0,1
G5171,2004-02-23,18.19503,25.328899383544922,turkana,0.0,0.0,1
G5171,2004-02-24,16.603456,22.3530330657959,turkana,0.0,0.0,1
G5171,2004-02-25,15.182586,20.064556121826172,turkana,0.0,0.0,1
G5171,2004-02-26,14.114969,18.195030212402344,turkana,0.0,0.0,1
G5171,2004-02-27,13.332694,16.603456497192383,turkana,0.0,0.0,1
G5171,2004-02-28,12.548089,15.182585716247559,turkana,0.0,0.0,1
G5171,2004-02-29,11.930519,14.114969253540039,turkana,0.0,0.0,1
G5171,2004-03-01,11.43155,13.332694053649902,turkana,0.0,0.0,1
G5171,2004-03-02,11.139843,12.548089027404785,turkana,0.0,0.0,1
G5171,2004-03-03,10.99199,11.930519104003906,turkana,0.0,0.0,1
G5171,2004-03-04,10.975488,11.774913787841797,turkana,0.0,0.0,1
G5171,2004-03-05,11.122792,12.177499771118164,turkana,0.0,0.0,1
G5171,2004-03-06,11.368494,12.350442886352539,turkana,0.0,0.0,1
G5171,2004-03-07,11.774914,12.411723136901855,turkana,0.0,0.0,1
G5171,2004-03-08,12.1775,12.411723136901855,turkana,0.0,0.0,1
G5171,2004-03-09,12.350443,12.411723136901855,turkana,0.0,0.0,1
G5171,2004-03-10,12.411723,12.411723136901855,turkana,0.0,0.0,1
G5171,2004-03-11,12.356975,12.411723136901855,turkana,0.0,0.0,1
G5171,2004-03-12,12.401273,48.78567123413086,turkana,0.0,0.0,1
G5171,2004-03-13,12.042776,252.98019409179688,turkana,0.0,0.0,1
G5171,2004-03-14,11.4007015,275.3972473144531,turkana,0.0,0.0,1
G5171,2004-03-15,48.78567,275.3972473144531,turkana,0.0,0.0,1
G5171,2004-03-16,252.9802,275.3972473144531,turkana,0.0,0.0,1
G5171,2004-03-17,275.39725,275.3972473144531,turkana,0.0,0.0,1
